eta,y_m,chord_m,Re_local,alpha_eff_deg,xtr_upper_c,xtr_lower_c,Cd_section,laminar_fraction
0.0,0.0,2.6,8246200.0,1.5,0.351,0.42,0.00315,0.385
0.089,0.757,2.484,7878900.0,1.23,0.374,0.42,0.00309,0.397
0.178,1.515,2.368,7511500.0,0.97,0.395,0.422,0.00303,0.409
0.267,2.272,2.253,7144200.0,0.7,0.419,0.41,0.003,0.415
0.356,3.029,2.137,6776900.0,0.43,0.441,0.412,0.00294,0.427
0.445,3.786,2.021,6409500.0,0.16,0.453,0.412,0.00293,0.433
0.535,4.544,1.905,6042200.0,-0.1,0.465,0.412,0.00292,0.439
0.624,5.301,1.789,5674900.0,-0.37,0.488,0.414,0.00288,0.451
0.713,6.058,1.673,5307600.0,-0.64,0.5,0.414,0.00288,0.457
0.802,6.815,1.558,4940200.0,-0.91,0.511,0.415,0.00289,0.463
0.891,7.573,1.442,4572900.0,-1.17,0.523,0.415,0.00291,0.469
0.98,8.33,1.326,4205600.0,-1.44,0.547,0.415,0.0029,0.481
